QSPRID,SMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro),QSPRID,pIC50 (SARS-CoV-2 Mpro)_original,Split_IsTrain,predicted SARS
MultiTaskTutorialDataset_033,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccn[nH]1)C(=O)c1ccc(F)cc12,ASAP-0013273,Test,6.82,7.87,MultiTaskTutorialDataset_033,7.87,True,7.058747
MultiTaskTutorialDataset_034,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncc[nH]1)C(=O)c1ccc(F)cc12,ASAP-0013274,Test,6.46,7.75,MultiTaskTutorialDataset_034,7.75,True,6.613727
MultiTaskTutorialDataset_035,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccncn2)c2cc(Cl)ccc2C1=O,ASAP-0013300,Test,6.92,7.65,MultiTaskTutorialDataset_035,7.65,True,6.894493
MultiTaskTutorialDataset_036,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnccn2)c2cc(Cl)ccc2C1=O,ASAP-0013301,Test,6.46,7.09,MultiTaskTutorialDataset_036,7.09,True,6.791707
MultiTaskTutorialDataset_037,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)N(C)C)c2cc(Cl)ccc2C1=O,ASAP-0013302,Test,4.59,7.43,MultiTaskTutorialDataset_037,7.43,True,6.5955195
MultiTaskTutorialDataset_038,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)NC)c2cc(F)ccc2C1=O,ASAP-0013303,Test,4.6,6.6,MultiTaskTutorialDataset_038,6.6,True,6.417431
MultiTaskTutorialDataset_039,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cc(O)ncn1)C(=O)c1ccc(F)cc12,ASAP-0013304,Test,5.51,6.47,MultiTaskTutorialDataset_039,6.47,True,6.562739
MultiTaskTutorialDataset_040,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nc[nH]n1)C(=O)c1ccc(F)cc12,ASAP-0013305,Test,5.59,6.68,MultiTaskTutorialDataset_040,6.68,True,6.9542384
MultiTaskTutorialDataset_041,Cn1ccc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013306,Test,4.31,4.33,MultiTaskTutorialDataset_041,4.33,False,6.5409126
MultiTaskTutorialDataset_042,Cn1ccc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013307,Test,6.31,7.4,MultiTaskTutorialDataset_042,7.4,False,6.5409126
MultiTaskTutorialDataset_043,Cn1cnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013308,Test,4.23,4.51,MultiTaskTutorialDataset_043,4.51,False,6.5328236
MultiTaskTutorialDataset_044,Cn1cnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013309,Test,4.79,5.99,MultiTaskTutorialDataset_044,5.99,False,6.5328236
MultiTaskTutorialDataset_045,Cn1nnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013310,Test,5.14,6.33,MultiTaskTutorialDataset_045,6.33,False,6.137743
MultiTaskTutorialDataset_046,Cn1nnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013311,Test,4.25,4.25,MultiTaskTutorialDataset_046,4.25,False,6.137743
MultiTaskTutorialDataset_047,Cn1nnnc1CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,ASAP-0013312,Test,4.35,4.12,MultiTaskTutorialDataset_047,4.12,False,6.3484774
MultiTaskTutorialDataset_048,Cn1nnnc1CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,ASAP-0013313,Test,5.16,6.3,MultiTaskTutorialDataset_048,6.3,False,6.3484774
MultiTaskTutorialDataset_049,CCn1nccc1CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0013398,Test,6.72,7.28,MultiTaskTutorialDataset_049,7.28,True,7.003797
MultiTaskTutorialDataset_050,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cn2cccn2)c2cc(Cl)ccc2C1=O,ASAP-0013405,Test,5.8,6.74,MultiTaskTutorialDataset_050,6.74,True,6.605341
MultiTaskTutorialDataset_051,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0013407,Test,5.98,6.9,MultiTaskTutorialDataset_051,6.9,True,6.5530996
MultiTaskTutorialDataset_052,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1c[nH]nn1)C(=O)c1ccc(F)cc12,ASAP-0013412,Test,6.37,7.31,MultiTaskTutorialDataset_052,7.31,True,6.5634317
MultiTaskTutorialDataset_053,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccnn1C)C(=O)c1ccc(F)cc12,ASAP-0013413,Test,6.5,7.08,MultiTaskTutorialDataset_053,7.08,True,6.7269197
MultiTaskTutorialDataset_054,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cocn1)C(=O)c1ccc(F)cc12,ASAP-0013414,Test,6.9,7.46,MultiTaskTutorialDataset_054,7.46,True,6.602696
MultiTaskTutorialDataset_055,Cc1cnc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)cn1,ASAP-0013423,Test,6.01,7.15,MultiTaskTutorialDataset_055,7.15,True,6.830451
MultiTaskTutorialDataset_056,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnc(C)s2)c2cc(Cl)ccc2C1=O,ASAP-0013716,Test,5.51,8.45,MultiTaskTutorialDataset_056,8.45,True,6.782026
MultiTaskTutorialDataset_057,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)NC)c2cc(Cl)ccc2C1=O,ASAP-0013717,Test,4.62,6.66,MultiTaskTutorialDataset_057,6.66,True,6.3886285
MultiTaskTutorialDataset_058,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cn2ncnn2)c2cc(Cl)ccc2C1=O,ASAP-0013718,Test,4.59,6.03,MultiTaskTutorialDataset_058,6.03,True,6.7272105
MultiTaskTutorialDataset_059,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC#N)C(=O)c1ccc(F)cc12,ASAP-0013719,Test,5.52,6.17,MultiTaskTutorialDataset_059,6.17,True,6.979549
MultiTaskTutorialDataset_060,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nccn1C)C(=O)c1ccc(F)cc12,ASAP-0013720,Test,5.45,6.44,MultiTaskTutorialDataset_060,6.44,True,6.76617
MultiTaskTutorialDataset_061,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nnnn1C)C(=O)c1ccc(F)cc12,ASAP-0013721,Test,5.46,6.41,MultiTaskTutorialDataset_061,6.41,True,6.716357
MultiTaskTutorialDataset_062,Cc1cc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)on1,ASAP-0013722,Test,6.92,7.91,MultiTaskTutorialDataset_062,7.91,True,6.8964596
MultiTaskTutorialDataset_063,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2scnc2C)c2cc(Cl)ccc2C1=O,ASAP-0013814,Test,5.54,8.38,MultiTaskTutorialDataset_063,8.38,True,6.8669353
MultiTaskTutorialDataset_064,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cncs2)c2cc(Cl)ccc2C1=O,ASAP-0013892,Test,6.44,8.73,MultiTaskTutorialDataset_064,8.73,True,6.780404
MultiTaskTutorialDataset_065,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCN(S(C)(=O)=O)CC1)C(=O)c1ccc(Cl)cc12,ASAP-0013898,Test,6.46,7.66,MultiTaskTutorialDataset_065,7.66,True,7.45016
MultiTaskTutorialDataset_066,O=C1c2ccc(Cl)cc2[C@@]2(CN1CCN1CCOCC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ncccn1,ASAP-0013925,Test,6.43,7.51,MultiTaskTutorialDataset_066,7.51,False,7.4621773
MultiTaskTutorialDataset_067,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccc(Cl)nn2)c2cc(Cl)ccc2C1=O,ASAP-0014544,Test,6.91,7.45,MultiTaskTutorialDataset_067,7.45,True,6.7735057
MultiTaskTutorialDataset_068,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccnnc1)C(=O)c1ccc(F)cc12,ASAP-0014613,Test,6.85,7.97,MultiTaskTutorialDataset_068,7.97,True,6.702593
MultiTaskTutorialDataset_069,Cc1ncc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)o1,ASAP-0014619,Test,5.96,7.09,MultiTaskTutorialDataset_069,7.09,True,6.6952057
MultiTaskTutorialDataset_070,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCCC1=O)C(=O)c1ccc(Cl)cc12,ASAP-0014632,Test,5.67,7.01,MultiTaskTutorialDataset_070,7.01,True,7.4354343
MultiTaskTutorialDataset_071,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCS(=O)(=O)CC1)C(=O)c1ccc(Cl)cc12,ASAP-0014717,Test,6.5,7.72,MultiTaskTutorialDataset_071,7.72,True,7.3757124
MultiTaskTutorialDataset_072,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncco1)C(=O)c1ccc(F)cc12,ASAP-0014745,Test,5.9,6.92,MultiTaskTutorialDataset_072,6.92,True,6.8541694
MultiTaskTutorialDataset_073,Cc1nc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)co1,ASAP-0014750,Test,7.23,8.04,MultiTaskTutorialDataset_073,8.04,True,6.5423684
MultiTaskTutorialDataset_074,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cnn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014753,Test,6.59,7.46,MultiTaskTutorialDataset_074,7.46,True,6.645544
MultiTaskTutorialDataset_075,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nnn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014758,Test,5.56,6.65,MultiTaskTutorialDataset_075,6.65,True,6.3885255
MultiTaskTutorialDataset_076,Cc1nc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)no1,ASAP-0014762,Test,5.62,6.68,MultiTaskTutorialDataset_076,6.68,True,6.654854
MultiTaskTutorialDataset_077,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccon1)C(=O)c1ccc(F)cc12,ASAP-0014764,Test,6.74,7.86,MultiTaskTutorialDataset_077,7.86,True,6.9346614
MultiTaskTutorialDataset_078,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014769,Test,5.21,6.32,MultiTaskTutorialDataset_078,6.32,True,6.914995
MultiTaskTutorialDataset_079,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014770,Test,6.82,7.82,MultiTaskTutorialDataset_079,7.82,True,6.855387
MultiTaskTutorialDataset_080,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cnn(C)c1)C(=O)c1ccc(F)cc12,ASAP-0014773,Test,6.9,8.06,MultiTaskTutorialDataset_080,8.06,True,6.6692743
MultiTaskTutorialDataset_081,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccn[nH]1)C(=O)c1ccc(Cl)cc12,ASAP-0014789,Test,6.27,7.44,MultiTaskTutorialDataset_081,7.44,False,7.3771944
MultiTaskTutorialDataset_082,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccncn1)C(=O)c1ccc(F)cc12,ASAP-0014794,Test,6.86,8.02,MultiTaskTutorialDataset_082,8.02,True,6.442563
MultiTaskTutorialDataset_083,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1c[nH]cn1)C(=O)c1ccc(Cl)cc12,ASAP-0014936,Test,5.92,7.17,MultiTaskTutorialDataset_083,7.17,False,7.268179
MultiTaskTutorialDataset_084,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncc[nH]1)C(=O)c1ccc(Cl)cc12,ASAP-0014948,Test,5.98,7.32,MultiTaskTutorialDataset_084,7.32,False,7.151144
MultiTaskTutorialDataset_085,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CCl)c2cc(Cl)ccc2C1=O,ASAP-0015078,Test,5.93,8.14,MultiTaskTutorialDataset_085,8.14,True,6.57663
MultiTaskTutorialDataset_086,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCC3(COC3)C1)C(=O)c1ccc(Cl)cc12,ASAP-0015092,Test,6.5,7.57,MultiTaskTutorialDataset_086,7.57,True,7.228785
MultiTaskTutorialDataset_087,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ncncn2)c2cc(Cl)ccc2C1=O,ASAP-0015108,Test,7.14,7.96,MultiTaskTutorialDataset_087,7.96,True,6.794636
MultiTaskTutorialDataset_088,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2nncs2)c2cc(Cl)ccc2C1=O,ASAP-0015239,Test,7.25,8.16,MultiTaskTutorialDataset_088,8.16,False,6.78157
MultiTaskTutorialDataset_089,C[C@@H]1COC[C@@H](C)N1CCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0015376,Test,6.45,7.85,MultiTaskTutorialDataset_089,7.85,True,7.5672092
MultiTaskTutorialDataset_090,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCOC(C)(C)C1)C(=O)c1ccc(Cl)cc12,ASAP-0015508,Test,6.51,7.43,MultiTaskTutorialDataset_090,7.43,True,7.296712
MultiTaskTutorialDataset_091,C[C@@H]1COC[C@H](C)N1CCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0015512,Test,5.92,7.28,MultiTaskTutorialDataset_091,7.28,True,7.5672092
MultiTaskTutorialDataset_092,C[C@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)CCO1,ASAP-0015514,Test,6.45,7.57,MultiTaskTutorialDataset_092,7.57,True,7.4092937
MultiTaskTutorialDataset_093,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC2CCC2)c2cc(Cl)ccc2C1=O,ASAP-0015648,Test,5.94,8.18,MultiTaskTutorialDataset_093,8.18,True,6.571242
MultiTaskTutorialDataset_094,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)[C@H](C)CO1,ASAP-0015656,Test,6.92,7.85,MultiTaskTutorialDataset_094,7.85,True,7.395629
MultiTaskTutorialDataset_095,C[C@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)[C@@H](C)CO1,ASAP-0015657,Test,6.74,7.87,MultiTaskTutorialDataset_095,7.87,True,7.395629
MultiTaskTutorialDataset_096,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CC(F)(F)C1)C(=O)c1ccc(Cl)cc12,ASAP-0015660,Test,6.67,7.95,MultiTaskTutorialDataset_096,7.95,True,7.6402493
MultiTaskTutorialDataset_097,C[C@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)C[C@H](C)O1,ASAP-0015663,Test,6.57,7.61,MultiTaskTutorialDataset_097,7.61,True,7.470637
MultiTaskTutorialDataset_098,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1C[C@H]3CC[C@H](C1)O3)C(=O)c1ccc(Cl)cc12,ASAP-0015666,Test,6.47,7.66,MultiTaskTutorialDataset_098,7.66,True,7.395935
MultiTaskTutorialDataset_099,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1C[C@H]3COC[C@H]3C1)C(=O)c1ccc(Cl)cc12,ASAP-0015669,Test,6.65,7.79,MultiTaskTutorialDataset_099,7.79,True,7.432053
MultiTaskTutorialDataset_100,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1C[C@H]3C[C@@H]1CO3)C(=O)c1ccc(Cl)cc12,ASAP-0015672,Test,6.71,7.89,MultiTaskTutorialDataset_100,7.89,True,7.3830743
MultiTaskTutorialDataset_101,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)CCO1,ASAP-0015677,Test,6.72,7.64,MultiTaskTutorialDataset_101,7.64,True,7.4092937
MultiTaskTutorialDataset_102,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)C[C@@H](C)O1,ASAP-0015679,Test,6.41,7.52,MultiTaskTutorialDataset_102,7.52,True,7.470637
MultiTaskTutorialDataset_103,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0015773,Test,6.05,7.94,MultiTaskTutorialDataset_103,7.94,False,7.0788546
